0.5036162,0.7873575,3.180873;0.5172248,0.1813322,2.986839;0.5127338,0.1271994,2.906473;0.5843164,0.06941963,2.863954;0.4412057,0.05506972,2.885221;0.5111896,0.5951824,3.121204;0.6612365,0.4719723,3.051906;0.3426968,0.4507264,3.073658;0.7748935,0.1905438,2.96269;0.2891868,0.1822864,3.00681;0.7931962,-0.008858885,2.836766;0.2702244,-0.02230778,2.891444;0.8041052,-0.08178145,2.768611;0.2696228,-0.09964141,2.827405;0.6598025,-0.4416328,2.785846;0.3822588,-0.4270497,2.770613;0.7034476,-0.7797723,2.72206;0.3430685,-0.7862839,2.699588;0.7137346,-0.8637052,2.632306;0.318358,-0.8593512,2.624552;
0.503249,0.7855765,3.180122;0.5177934,0.1830111,2.988265;0.5128354,0.128927,2.907735;0.5851585,0.07022054,2.864536;0.4400668,0.05623421,2.886151;0.5130085,0.5963848,3.123225;0.6640247,0.4720708,3.052528;0.3423722,0.4510046,3.075956;0.7749496,0.1905056,2.962723;0.2901708,0.183108,3.008598;0.7933444,-0.008977301,2.836941;0.2719717,-0.02159289,2.893293;0.8041674,-0.0821038,2.768992;0.270704,-0.1000594,2.830658;0.6598375,-0.4415827,2.785563;0.3821082,-0.4254692,2.766842;0.7032972,-0.7800674,2.72147;0.3415732,-0.7882496,2.695439;0.7136661,-0.8633814,2.632785;0.3181962,-0.8595592,2.623693;
0.5034146,0.7858428,3.180372;0.5183062,0.1826397,2.988966;0.5132074,0.1286064,2.908521;0.5853651,0.07002661,2.864864;0.4409246,0.05578297,2.88794;0.5130991,0.5951868,3.123439;0.6639578,0.4697047,3.050824;0.3430427,0.4508584,3.076525;0.7760291,0.1908368,2.963572;0.2915488,0.1810862,3.008334;0.7935954,-0.009693397,2.836973;0.2733337,-0.02362289,2.893035;0.804239,-0.082726,2.768895;0.2728809,-0.1038727,2.832691;0.6605117,-0.4410193,2.785086;0.3828661,-0.4232977,2.763543;0.7034218,-0.7800328,2.721415;0.3415537,-0.7881789,2.694793;0.7137328,-0.8632555,2.632348;0.3177154,-0.8597332,2.622249;
0.5038516,0.784756,3.18058;0.5189489,0.1822545,2.989631;0.5137292,0.1277633,2.909615;0.5858175,0.06823595,2.867007;0.4418196,0.05500993,2.889197;0.5133476,0.594433,3.121863;0.6639917,0.4675375,3.049668;0.3429959,0.4500345,3.077773;0.7780952,0.1920714,2.965853;0.2929963,0.1815511,3.009107;0.7927443,-0.009711361,2.836536;0.2743154,-0.02303065,2.893623;0.8041305,-0.08231114,2.768117;0.2731456,-0.1034396,2.833502;0.6612928,-0.4409941,2.78439;0.3821666,-0.4224779,2.758491;0.7035745,-0.780035,2.721416;0.3416836,-0.7882153,2.694336;0.7137209,-0.8632339,2.632357;0.3173287,-0.8601327,2.621902;
0.5039562,0.783953,3.17943;0.5201035,0.182522,2.992019;0.5143227,0.1277345,2.912537;0.5860257,0.06780069,2.868189;0.4428559,0.05409852,2.894451;0.513635,0.5944909,3.121984;0.6643915,0.4660888,3.04899;0.3418639,0.4492448,3.081256;0.7783667,0.1917195,2.966034;0.2946336,0.1818724,3.010234;0.792691,-0.009641645,2.836352;0.2754311,-0.02214251,2.893696;0.8039198,-0.08156945,2.767202;0.2740521,-0.1021051,2.832987;0.663703,-0.4398195,2.778821;0.3808426,-0.4220067,2.753916;0.7037723,-0.7800496,2.719123;0.3418724,-0.7894102,2.692007;0.7134925,-0.8634154,2.630881;0.3171906,-0.8606157,2.62082;
0.5041128,0.78356,3.179172;0.5208958,0.1815642,2.993138;0.5148356,0.1263789,2.913876;0.5871388,0.06502113,2.870695;0.4428127,0.05292132,2.895188;0.5148647,0.5940031,3.121608;0.6670443,0.4618067,3.046858;0.3419787,0.4477683,3.081819;0.778536,0.1912739,2.965882;0.2969184,0.1812255,3.009746;0.7921891,-0.006239375,2.833386;0.277091,-0.02267513,2.89309;0.8068433,-0.0763872,2.763058;0.2771307,-0.09788389,2.826568;0.6672404,-0.437654,2.772052;0.3796222,-0.4212977,2.749557;0.7038137,-0.7807962,2.715757;0.3399065,-0.7906537,2.686467;0.7138242,-0.8639454,2.629382;0.3164294,-0.8609097,2.618835;
0.5058498,0.7713051,3.172936;0.5223957,0.1785232,2.994372;0.515865,0.1237864,2.91534;0.5885563,0.06232638,2.872298;0.44331,0.050455,2.896457;0.5170276,0.586868,3.119769;0.6682532,0.4577733,3.046507;0.3435262,0.4431176,3.083264;0.7787147,0.1901704,2.965314;0.3006338,0.174357,3.004255;0.7880874,-0.004887033,2.819001;0.2816783,-0.02163133,2.872985;0.8054681,-0.07233799,2.746684;0.2779652,-0.09270326,2.802158;0.6692589,-0.4323885,2.761216;0.375032,-0.4173003,2.742197;0.7037071,-0.7812525,2.713525;0.3393002,-0.7905953,2.685022;0.7137215,-0.8640916,2.629066;0.3164195,-0.8607951,2.618731;
0.5066288,0.7676988,3.168294;0.5231638,0.177833,2.996728;0.5180229,0.1234512,2.919173;0.5943589,0.05971045,2.87877;0.4438732,0.04888856,2.898676;0.5176668,0.5748089,3.112194;0.6783345,0.4549913,3.05234;0.3423956,0.4376156,3.0841;0.7796539,0.1885632,2.962196;0.3047175,0.1720551,3.001236;0.788029,-0.0007505743,2.806351;0.2822877,-0.0195099,2.86342;0.8084935,-0.08562592,2.707631;0.2771382,-0.0891833,2.791306;0.6727337,-0.4208581,2.749393;0.3737148,-0.4152109,2.737932;0.7033851,-0.7808968,2.707656;0.3382913,-0.7909508,2.683012;0.7137265,-0.863034,2.626677;0.3167427,-0.8613259,2.617098;
0.505106,0.7615653,3.160818;0.5249649,0.1743632,2.99949;0.5198787,0.1206414,2.922934;0.5985544,0.05559393,2.882409;0.4436676,0.04393474,2.904192;0.5189497,0.5624117,3.105317;0.6831292,0.4455881,3.050238;0.3434701,0.4319693,3.083791;0.7793227,0.1878904,2.956992;0.308574,0.164278,2.995148;0.7937009,0.004016037,2.774116;0.2815869,-0.007936716,2.832253;0.804137,-0.07614792,2.659933;0.2786055,-0.07438119,2.757036;0.6751522,-0.4159615,2.740371;0.3708778,-0.4120458,2.732829;0.7067897,-0.7836289,2.69682;0.3374809,-0.7914996,2.68054;0.7138222,-0.862684,2.626082;0.3164561,-0.8614733,2.616145;
0.5040927,0.7378566,3.145148;0.5329872,0.1463342,3.002565;0.5274993,0.09386061,2.9274;0.6061181,0.03344403,2.887796;0.450541,0.0169273,2.908355;0.521784,0.5368382,3.10089;0.6828208,0.429684,3.043892;0.3493753,0.414328,3.08024;0.7803488,0.1867025,2.94917;0.3125235,0.1516873,2.975452;0.8031602,0.03593796,2.763916;0.2772405,-0.002675727,2.795621;0.8083279,-0.07120934,2.647152;0.2738909,-0.08768927,2.695512;0.6823031,-0.4126242,2.725264;0.3600267,-0.4144445,2.718092;0.7073537,-0.784735,2.692587;0.3371187,-0.7921479,2.679417;0.7137338,-0.8629552,2.624215;0.3164531,-0.861472,2.616148;
